"Original_Applicant","Cited_Applicant","weight","distance"
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bonalle, David S.",238,0.00420168067226891
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bonneau, Jr., Walter C.",30,0.0333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BOOTH KEVIN",16,0.0625
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Boshra, Michael",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bradley, Brett A.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Brandys, Pascal",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Brite Smart Corporation",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Brite Smart LLC",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Broman, Vicki",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Brooks, Juliana H. J.",22,0.0454545454545455
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Brooks; Juliana H. J.",5,0.2
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BUFFUM CHUCK",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Bunn, Frank E.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Burchette, Jr., Robert L.",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","BURNS MICHAEL H.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CALVIN NATHANIEL",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CAMBIER JAMES L.",5,0.2
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Cambier, James L.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Campisi, Steven E.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Cannon, Greg L.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Canon",21,0.0476190476190476
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Cassone, Jean",3,0.333333333333333
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Chaiken, Alison",4,0.25
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Chartoleaux KG Limited Liability Company",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CHASKO STEPHEN J.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Choi, Unho",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Cole-Courtney, Jacqueline",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Colorado State University Research Foundation",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","COMSTOCK CARLTON R.",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Comverse Network Systems, Inc.",5,0.2
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Contolini, Matteo",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Courtney, Eamonn",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Cross Match Technologies, Inc.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CROSS MATCH TECHNOLOGIES, INC.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","Crosscheck Identification Systems International, Inc.",38,0.0263157894736842
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CUDLITZ STEPHEN",2,0.5
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","CYLON GLOBAL TECHNOLOGY INC.",1,1
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.","DAINIPPON PRINTING CO LTD",2,0.5
